Amount,Amount Paid,Commission,Product,Name,Transaction Status,Date
100,97,3,MTN,Airtime,completed,1/1/2025
100,97,3,MTN,Airtime,completed,1/1/2025
500,483,17,Airtel,Airtime,completed,1/1/2025
500,495,5,Ikeja,Electricity,completed,1/1/2025
200,192,8,GLO,Airtime,completed,1/1/2025
500,483,17,Airtel,Airtime,completed,1/1/2025
600,582,18,MTN,Data,completed,1/1/2025
1000,970,30,MTN,Data,completed,1/1/2025
500,480,20,GLO,Data,completed,1/1/2025
2000,1940,60,MTN,Airtime,completed,1/1/2025
200,194,6,MTN,Airtime,completed,1/1/2025
2000,1940,60,MTN,Airtime,completed,1/1/2025
1000,970,30,MTN,Airtime,completed,1/1/2025
500,485,15,MTN,Airtime,completed,1/1/2025
500,480,20,GLO,Airtime,completed,1/1/2025
500,485,15,MTN,Airtime,completed,1/1/2025
100,96.6,3.4,Airtel,Airtime,completed,1/1/2025
200,193.2,6.8,Airtel,Airtime,completed,1/1/2025
1500,1455,45,MTN,Data,completed,1/1/2025
2000,1920,80,9mobile,Airtime,completed,1/1/2025
500,485,15,MTN,Airtime,completed,1/1/2025
1500,1485,15,Ikeja,Electricity,completed,1/1/2025
500,483,17,Airtel,Airtime,completed,1/1/2025
400,388,12,MTN,Airtime,completed,1/1/2025
500,485,15,MTN,Airtime,completed,1/1/2025
300,289.8,10.2,Airtel,Airtime,completed,1/1/2025
600,582,18,MTN,Airtime,completed,1/1/2025
200,194,6,MTN,Airtime,completed,1/1/2025
300,289.8,10.2,Airtel,Airtime,completed,1/1/2025
200,193.2,6.8,Airtel,Airtime,completed,1/1/2025
500,483,17,Airtel,Airtime,completed,1/1/2025
200,193.2,6.8,Airtel,Airtime,completed,1/1/2025
200,192,8,GLO,Airtime,completed,1/1/2025
1500,1455,45,MTN,Airtime,completed,1/1/2025
100,96.6,3.4,Airtel,Airtime,completed,1/1/2025
500,485,15,MTN,Airtime,completed,1/1/2025
1000,970,30,MTN,Airtime,completed,1/1/2025
200,193.2,6.8,Airtel,Airtime,completed,1/1/2025
500,483,17,Airtel,Airtime,completed,1/1/2025
500,483,17,Airtel,Airtime,completed,1/1/2025
200,193.2,6.8,Airtel,Airtime,completed,1/1/2025
500,485,15,MTN,Airtime,completed,1/1/2025
3300,3250.5,49.5,Gotv,Payment,completed,1/1/2025
500,485,15,MTN,Airtime,completed,1/1/2025
960,921.6,38.4,GLO,Data,completed,1/1/2025
8000,7920,80,Ikeja,Electricity,completed,1/1/2025
